	A
	
	DCM.Sample.Raw.csv
13123.35958	-0.002655
13157.89474	-0.002704
13192.61214	-0.002687
13227.51323	-0.002670
13262.59947	-0.002678
13297.87234	-0.002579
13333.33333	-0.002496
13368.98396	-0.002713
13404.82574	-0.002580
13440.86022	-0.002681
13477.08895	-0.002738
13513.51351	-0.002711
13550.1355	-0.002415
13586.95652	-0.002296
13623.9782	-0.002153
13661.20219	-0.002427
13698.63014	-0.002104
13736.26374	-0.001365
13774.10468	-6.380E-4
13812.1547	-1.910E-4
13850.41551	-2.090E-4
13888.88889	-2.900E-4
13927.5766	-7.510E-4
13966.48045	-0.001298
14005.60224	-0.001587
14044.94382	-0.002013
14084.50704	-0.002293
14124.29379	-0.002294
14164.30595	-0.002302
14204.54545	-0.002481
14245.01425	-0.002477
14285.71429	-0.002338
14326.64756	-0.002252
14367.81609	-0.002282
14409.2219	-0.002380
14450.86705	-0.002688
14492.75362	-0.002622
14534.88372	-0.002515
14577.25948	-0.002377
14619.88304	-0.002236
14662.7566	-0.002223
14705.88235	-0.002263
14749.26254	-0.002304
14792.89941	-0.002369
14836.79525	-0.002348
14880.95238	-0.002358
14925.37313	-0.002436
14970.05988	-0.002446
15015.01502	-0.002463
15060.24096	-0.002276
15105.74018	-0.002232
15151.51515	-0.002373
15197.56839	-0.002498
15243.90244	-0.002415
15290.51988	-0.002346
15337.42331	-0.002330
15384.61538	-0.002224
15432.09877	-0.002291
15479.87616	-0.002376
15527.95031	-0.002384
15576.32399	-0.002320
15625	-0.002353
15673.98119	-0.002470
15723.27044	-0.002356
15772.87066	-0.002219
15822.78481	-0.002359
15873.01587	-0.002342
15923.56688	-0.002189
15974.44089	-0.002134
16025.64103	-0.002143
16077.17042	-0.002047
16129.03226	-0.001988
16181.22977	-0.001908
16233.76623	-0.001708
16286.64495	-0.001749
16339.86928	-0.001945
16393.44262	-0.002070
16447.36842	-0.001971
16501.65017	-0.001949
16556.29139	-0.002085
16611.29568	-0.002098
16666.66667	-0.002082
16722.40803	-0.002091
16778.52349	-0.002027
16835.01684	-0.002152
16891.89189	-0.002063
16949.15254	-0.001845
17006.80272	-0.001853
17064.84642	-0.001987
17123.28767	-0.001899
17182.13058	-0.001841
17241.37931	-0.001951
17301.03806	-0.001829
17361.11111	-0.001890
17421.60279	-0.001918
17482.51748	-0.001871
17543.85965	-0.001840
17605.6338	-0.001850
17667.84452	-0.001889
17730.49645	-0.001863
17793.59431	-0.001773
17857.14286	-0.001665
17921.14695	-0.001821
17985.61151	-0.001922
18050.54152	-0.001908
18115.94203	-0.001914
18181.81818	-0.001768
18248.17518	-0.001747
18315.01832	-0.001635
18382.35294	-0.001648
18450.1845	-0.001666
18518.51852	-0.001620
18587.36059	-0.001705
18656.71642	-0.001708
18726.59176	-0.001747
18796.99248	-0.001570
18867.92453	-0.001453
18939.39394	-0.001509
19011.40684	-0.001517
19083.96947	-0.001533
19157.08812	-0.001521
19230.76923	-0.001548
19305.01931	-0.001564
19379.84496	-0.001626
19455.25292	-0.001352
19531.25	-0.001391
19607.84314	-0.001273
19685.03937	-0.001184
19762.84585	-0.001052
19841.26984	-0.001195
19920.31873	-0.001241
20000	-0.001126
20080.32129	-9.770E-4
20161.29032	-0.001024
20242.91498	-9.710E-4
20325.20325	-9.500E-4
20408.16327	-0.001037
20491.80328	-8.900E-4
20576.13169	-9.210E-4
20661.15702	-7.550E-4
20746.88797	-8.170E-4
20833.33333	-4.380E-4
20920.50209	-4.900E-4
21008.40336	-5.650E-4
21097.04641	-5.020E-4
21186.44068	-4.980E-4
